,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
135,112x112,12544,6384,2,2,57.0,57,68,(0.11920041824507543+0.0037900576170319784j),0.11926065674203432,15.647963285446169,6242
136,112x112,12544,5712,2,2,51.0,51,65,(0.1339451124184187+0.02964451632454427j),0.13718633492042492,13.65391492843628,6076
137,112x112,12544,5040,2,2,45.0,45,59,(0.13185203307970095+0.006630101439959552j),0.13201862320276903,10.974511623382568,5422
138,112x112,12544,4480,2,2,40.0,40,55,(0.1461938790766681+0.040985737639769954j),0.15183043492448905,10.416069746017456,5310
139,112x112,12544,3808,2,2,34.0,34,49,(0.1833127449166955+0j),0.1833127449166955,7.56173300743103,4587
140,113x113,12769,9605,2,2,85.0,85,97,(0.08041634406276948+0j),0.08041634406276948,34.535032987594604,9217
141,113x113,12769,9040,2,2,80.0,80,92,(0.0839440172646736+0.006168580219041585j),0.08417035948866186,28.63196611404419,8151
142,113x113,12769,8362,2,2,74.0,74,85,(0.095025870738703+0j),0.095025870738703,27.33083438873291,8412
143,113x113,12769,7684,2,2,68.0,68,80,(0.10076710274525753+0.01423506807872077j),0.10176760859369303,24.312743425369263,7742
144,113x113,12769,7119,2,2,63.0,63,78,(0.11148455670169839+0j),0.11148455670169839,19.289591550827023,6882
145,113x113,12769,6441,2,2,57.0,57,71,(0.116811668726935+0j),0.116811668726935,17.068862676620483,6712
146,113x113,12769,5763,2,2,51.0,51,64,(0.1278826669398793+0j),0.1278826669398793,12.54140305519104,5468
147,113x113,12769,5198,2,2,46.0,46,61,(0.1293186623978706+0.01718161017425139j),0.13045506572208826,11.867179870605469,5709
148,113x113,12769,4520,2,2,40.0,40,50,(0.15991276671206633+0.01510469876569216j),0.1606245463256163,7.794557809829712,4278
149,113x113,12769,3842,3,2,34.0,34,48,(0.18143853380720745+0j),0.18143853380720745,7.010245323181152,4457
150,114x114,12996,9804,2,2,86.0,86,99,(0.07371667430902483+0j),0.07371667430902483,32.689279317855835,8612
151,114x114,12996,9120,2,2,80.0,80,91,(0.09048250235193407+0j),0.09048250235193407,31.60753989219665,8943
152,114x114,12996,8550,2,2,75.0,75,86,(0.09058672683365816+0j),0.09058672683365816,26.311554670333862,7961
153,114x114,12996,7866,2,2,69.0,69,81,(0.09284837715925746+0.04070355716736843j),0.10137850219442461,23.66219449043274,7724
