,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,convergence_speed,convergence_iterations
115,110x110,12100,217,10,8,1.9727272727272727,2,2,(1.3819532338976739+0.425632875834528j),0.12327837944030762,828
116,110x110,12100,220,9,8,2.0,3,2,(1.3059476350148929+0.28097969099075026j),0.11600875854492188,778
117,110x110,12100,220,9,7,2.0,3,2,(1.3547798413185452+0j),0.12901687622070312,822
118,110x110,12100,220,10,8,2.0,3,2,(1.244176979021169+0.6363838247546001j),0.13011813163757324,836
119,110x110,12100,220,10,8,2.0,3,2,(1.4075000648659761+0j),0.121368408203125,805
120,111x111,12321,221,10,7,1.990990990990991,3,2,(1.3533075985216407+0.4218641855094186j),0.12267112731933594,819
121,111x111,12321,218,12,8,1.9639639639639639,3,2,(1.4418066057626149+0.2734989163667225j),0.12435245513916016,818
122,111x111,12321,220,10,7,1.981981981981982,3,2,(1.3530059638603336+0.13018174063511911j),0.12134671211242676,817
123,111x111,12321,220,10,7,1.981981981981982,3,2,(1.291560649589365+0.35688718490926874j),0.12270593643188477,827
124,111x111,12321,221,10,8,1.990990990990991,3,2,(1.4495770009710047+0j),0.12136435508728027,802
125,111x111,12321,219,10,8,1.972972972972973,3,2,(1.442224283595396+0j),0.12807607650756836,835
126,111x111,12321,222,10,8,2.0,3,2,(1.3298020743448686+0j),0.12969255447387695,853
127,111x111,12321,220,10,8,1.981981981981982,3,2,(1.2989769308960208+0.2493973921983471j),0.12975144386291504,831
128,111x111,12321,221,11,7,1.990990990990991,3,2,(1.4077825143536167+0.08561732903706144j),0.12167477607727051,832
129,111x111,12321,222,9,8,2.0,3,2,(1.4430064772085804+0j),0.13318490982055664,821
130,112x112,12544,222,10,8,1.9821428571428572,3,2,(1.3680317443792167+0.31146312399987036j),0.1332716941833496,822
131,112x112,12544,222,10,8,1.9821428571428572,3,2,(1.4891520205754223+0j),0.13242006301879883,831
132,112x112,12544,223,10,8,1.9910714285714286,3,2,(1.38419242034315+0j),0.13808727264404297,815
133,112x112,12544,224,10,8,2.0,3,2,(1.337548622196513+0.04269751313964795j),0.1421494483947754,827
134,112x112,12544,224,10,8,2.0,3,2,(1.2822098588282733+0.37151234195396765j),0.12177705764770508,793
135,112x112,12544,223,10,8,1.9910714285714286,3,2,(1.334741273517054+0.10262504307435821j),0.1197655200958252,814
136,112x112,12544,221,10,8,1.9732142857142858,3,2,(1.3508867240396696+0.19131113845303097j),0.12569975852966309,838
