,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle,convergence_speed
226,120x120,14400,6600,2,2,55.0,55.0,55,66,(0.11427297086407034+0.01778359481035173j),14.309066534042358
227,120x120,14400,5760,2,2,48.0,48.0,48,62,(0.16879927786397342+0j),13.119173765182495
228,120x120,14400,5040,2,2,42.0,42.0,42,57,(0.14716414435674297+0j),10.516746997833252
229,120x120,14400,4320,2,2,36.0,36.0,36,49,(0.1864384325036357+0j),8.389993906021118
230,121x121,14641,11011,2,2,91.0,91.0,91,102,(0.07314363939875003+0j),39.78824973106384
231,121x121,14641,10285,2,2,85.0,85.0,85,96,(0.07895528032535486+0.02424782551437437j),35.93380904197693
232,121x121,14641,9559,2,2,79.0,79.0,79,95,(0.08864499818767685+0.007301939876707919j),27.000190258026123
233,121x121,14641,8833,2,2,73.0,73.0,73,88,(0.09962804116410696+0j),27.849151372909546
234,121x121,14641,8107,2,2,67.0,67.0,67,82,(0.097464802908723+0.02347236637825728j),21.1301486492157
235,121x121,14641,7381,2,2,61.0,61.0,61,72,(0.13070858698132368+0j),18.96205472946167
236,121x121,14641,6655,2,2,55.0,55.0,55,75,(0.12024449542192403+0j),16.9201078414917
237,121x121,14641,5929,2,2,49.0,49.0,49,62,(0.1284377677735134+0j),12.192825078964233
238,121x121,14641,5203,2,2,43.0,43.0,43,58,(0.13353257373083477+0.06768698910357288j),10.758194923400879
239,121x121,14641,4477,2,2,37.0,37.0,37,51,(0.13922966151737007+0.06860058732792451j),7.578424453735352
240,122x122,14884,11224,2,2,92.0,92.0,92,105,(0.07683067192536723+0.014417241649994196j),39.28020715713501
241,122x122,14884,10492,2,2,86.0,86.0,86,96,(0.0843459741890658+0.0037559641482314814j),34.97533702850342
242,122x122,14884,9760,2,2,80.0,80.0,80,94,(0.08727790210066233+0.0034391336999337004j),30.10150456428528
243,122x122,14884,9028,2,2,74.0,74.0,74,91,(0.08690735573095831+0.044288358992341056j),27.661465406417847
244,122x122,14884,8296,2,2,68.0,68.0,68,80,(0.10695070099767087+0j),24.35302209854126
245,122x122,14884,7564,2,2,62.0,62.0,62,78,(0.11481680304530467+0.01428270067996986j),17.707090139389038
246,122x122,14884,6710,2,2,55.0,55.0,55,69,(0.11756034509785311+0.011228356990635045j),15.052056312561035
247,122x122,14884,5978,2,2,49.0,49.0,49,63,(0.12719683455613873+0.019046072288947124j),13.84376335144043
248,122x122,14884,5246,2,2,43.0,43.0,43,55,(0.15827836652147578+0.008386409261551169j),10.728713035583496
249,122x122,14884,4514,2,2,37.0,37.0,37,50,(0.1613646304238083+0j),8.295818567276001
250,123x123,15129,11439,2,2,93.0,93.0,93,103,(0.07657354975243189+0.01747503761213029j),39.1655433177948
251,123x123,15129,10701,2,2,87.0,87.0,87,97,(0.07988725978090874+0j),37.958547830581665
252,123x123,15129,9840,2,2,80.0,80.0,80,96,(0.08623891377629658+0j),32.088531255722046
253,123x123,15129,9102,2,2,74.0,74.0,74,89,(0.09412947287725286+0.0089669782756112j),26.315742015838623
254,123x123,15129,8364,2,2,68.0,68.0,68,83,(0.103674225969661+0j),22.276806354522705
255,123x123,15129,7626,2,2,62.0,62.0,62,77,(0.1001665283795545+0.021701874868182307j),18.371371746063232
256,123x123,15129,6888,2,2,56.0,56.0,56,68,(0.12408021765704685+0j),17.271585702896118
257,123x123,15129,6150,2,2,50.0,50.0,50,61,(0.12837234500444075+0j),13.606664419174194
258,123x123,15129,5412,2,2,44.0,44.0,44,59,(0.13812582655894112+0.04255069547329487j),10.307698965072632
259,123x123,15129,4551,2,2,37.0,37.0,37,52,(0.15386187936552542+0.016961574149640262j),8.493605375289917
260,124x124,15376,11532,2,2,93.0,93.0,93,103,(0.08007001390337638+0j),40.26703143119812
261,124x124,15376,10788,2,2,87.0,87.0,87,97,(0.09041704873196002+0.023348969131592845j),36.972734212875366
