,matrix,number_of_nodes,number_of_edges,diameter,radius,average_deg,max_in_deg,max_out_deg,sle,norm_sle,convergence_speed,convergence_iterations
168,115x115,13225,229,14,9,1.991304347826087,2,5,(0.7481437029563401+0j),0.7481437029563401,0.008033037185668945,52
169,115x115,13225,230,14,9,2.0,2,4,(0.7817259544559271+0j),0.7817259544559271,0.007109403610229492,46
170,116x116,13456,567,6,4,4.887931034482759,5,11,(0.5182153423881111+0j),0.5182153423881111,0.00579833984375,17
171,116x116,13456,574,5,4,4.948275862068965,5,11,(0.44566296460633636+0.1527008425080936j),0.4710976812980406,0.004525661468505859,17
172,116x116,13456,565,6,4,4.870689655172414,5,11,(0.5233562448373513+0.17840142933110428j),0.552927507904639,0.004885673522949219,18
173,116x116,13456,565,5,4,4.870689655172414,5,9,(0.5037511356850259+0j),0.5037511356850259,0.005089759826660156,17
174,116x116,13456,570,6,4,4.913793103448276,5,11,(0.4615397263951453+0.08886021339412614j),0.47001601734978693,0.0041086673736572266,16
175,116x116,13456,568,6,4,4.896551724137931,5,12,(0.5301297445025303+0j),0.5301297445025303,0.005348682403564453,18
176,116x116,13456,574,5,4,4.948275862068965,5,12,(0.49059687472176805+0.14086344042682006j),0.5104192417372668,0.005300998687744141,17
177,116x116,13456,571,6,4,4.922413793103448,5,10,(0.4710159313293699+0.20652154291160776j),0.5143025911393649,0.005081892013549805,17
178,116x116,13456,569,6,4,4.905172413793103,5,9,(0.5829800996242425+0j),0.5829800996242425,0.00537419319152832,18
179,116x116,13456,564,5,4,4.862068965517241,5,9,(0.48980791783779376+0.0689645560774085j),0.4946391678502107,0.006015777587890625,18
180,117x117,13689,577,5,4,4.931623931623932,5,13,(0.4495455620394814+0.028094852638394063j),0.45042261609977613,0.00458216667175293,17
181,117x117,13689,568,6,4,4.854700854700854,5,11,(0.5083778118269944+0.06036372649650593j),0.5119490004234288,0.006509065628051758,18
182,117x117,13689,577,6,4,4.931623931623932,5,10,(0.5164056296566307+0.019876505546197458j),0.5167880124517105,0.006524324417114258,17
183,117x117,13689,575,5,4,4.914529914529915,5,10,(0.5183304927801937+0j),0.5183304927801937,0.005959510803222656,17
184,117x117,13689,577,6,4,4.931623931623932,5,10,(0.46189077764967534+0.025495016171870784j),0.4625938675851916,0.006103038787841797,17
185,117x117,13689,574,5,4,4.905982905982906,5,11,(0.4937076508218123+0.13494097790710013j),0.5118166781168009,0.006703615188598633,17
186,117x117,13689,573,6,4,4.897435897435898,5,9,(0.48968380732378836+0j),0.48968380732378836,0.006398916244506836,17
187,117x117,13689,583,5,4,4.982905982905983,5,10,(0.4851742497139649+0j),0.4851742497139649,0.012121438980102539,16
188,117x117,13689,578,6,4,4.94017094017094,5,10,(0.49320507783408896+0j),0.49320507783408896,0.005855560302734375,17
189,117x117,13689,575,6,4,4.914529914529915,5,10,(0.4489718630163023+0j),0.4489718630163023,0.004975080490112305,17
190,118x118,13924,1149,4,3,9.73728813559322,10,18,(0.3452033480952183+0j),0.3452033480952183,0.005527496337890625,11
191,118x118,13924,1133,4,3,9.601694915254237,10,17,(0.3525704825715531+0.006854689221483348j),0.3526371108449321,0.006519794464111328,12
192,118x118,13924,1139,4,3,9.652542372881356,10,17,(0.3516651974355501+0j),0.3516651974355501,0.0061376094818115234,11
193,118x118,13924,1140,4,3,9.661016949152541,10,18,(0.3592349000424275+0j),0.3592349000424275,0.00540471076965332,11
194,118x118,13924,1141,4,3,9.669491525423728,10,20,(0.3807512259245909+0j),0.3807512259245909,0.006033182144165039,12
195,118x118,13924,1136,4,3,9.627118644067796,10,17,(0.31852105842949313+0j),0.31852105842949313,0.006191253662109375,12
196,118x118,13924,1136,4,3,9.627118644067796,10,19,(0.3385462953186003+0.05220808695117982j),0.34254821327376805,0.00785374641418457,12
197,118x118,13924,1131,4,3,9.584745762711865,10,18,(0.3430898521883911+0.10725246904474403j),0.35946312577348716,0.0075037479400634766,12
198,118x118,13924,1139,4,3,9.652542372881356,10,18,(0.3418787537627694+0.055718532046637244j),0.34638942981536897,0.006565570831298828,11
199,118x118,13924,1134,4,3,9.610169491525424,10,16,(0.32180120180187116+0.0067049248285186575j),0.3218710448270933,0.006439685821533203,12
200,119x119,14161,922,5,3,7.7478991596638656,8,13,(0.4187888249596401+0j),0.4187888249596401,0.006600618362426758,13
201,119x119,14161,925,4,3,7.773109243697479,8,16,(0.3936050241109972+0j),0.3936050241109972,0.005889892578125,13
202,119x119,14161,918,4,3,7.714285714285714,8,15,(0.42815768949801597+0.055844734063106256j),0.4317842533011811,0.005522012710571289,13
203,119x119,14161,925,4,3,7.773109243697479,8,14,(0.39376246700436723+0j),0.39376246700436723,0.0052890777587890625,12
204,119x119,14161,926,5,3,7.781512605042017,8,16,(0.38082857085747246+0.05856181564894429j),0.3853049268221805,0.006540775299072266,13
205,119x119,14161,932,4,3,7.831932773109243,8,15,(0.3644361464576527+0j),0.3644361464576527,0.0060083866119384766,13
206,119x119,14161,932,4,3,7.831932773109243,8,15,(0.40194511050149895+0j),0.40194511050149895,0.00803828239440918,14
207,119x119,14161,932,4,3,7.831932773109243,8,16,(0.4028128389213961+0j),0.4028128389213961,0.00772547721862793,13
208,119x119,14161,931,4,3,7.823529411764706,8,14,(0.37581640068462957+0j),0.37581640068462957,0.00801706314086914,13
209,119x119,14161,921,5,3,7.739495798319328,8,17,(0.4288751532610132+0j),0.4288751532610132,0.007024049758911133,13
210,11x11,121,65,3,2,5.909090909090909,7,8,(0.3326278262400041+0j),0.3326278262400041,0.0009996891021728516,9
211,11x11,121,67,2,2,6.090909090909091,7,8,(0.34903638044712637+0j),0.34903638044712637,0.0,10
