,matrix,number_of_nodes,number_of_edges,diameter,radius,average_in_deg,average_out_deg,max_in_deg,max_out_deg,sle
139,112x112,12544,3106,3,2,27.732142857142858,27.732142857142858,28,41,(0.20436297505396733+0j)
140,113x113,12769,3240,3,2,28.672566371681416,28.672566371681416,29,40,(0.18183796985641063+0.05290266108836123j)
141,113x113,12769,3249,3,2,28.75221238938053,28.75221238938053,29,42,(0.21162615718657632+0j)
142,113x113,12769,3248,3,2,28.743362831858406,28.743362831858406,29,40,(0.21011362220576943+0j)
143,113x113,12769,3249,3,2,28.75221238938053,28.75221238938053,29,41,(0.17538677038575362+0.028304180588956857j)
144,113x113,12769,3250,3,2,28.761061946902654,28.761061946902654,29,39,(0.18014361548474153+0.04177416234360047j)
145,113x113,12769,3232,3,2,28.601769911504423,28.601769911504423,29,38,(0.18022808492753337+0j)
146,113x113,12769,3249,3,2,28.75221238938053,28.75221238938053,29,40,(0.17523432685331602+0.017234729360489563j)
147,113x113,12769,3243,3,2,28.699115044247787,28.699115044247787,29,46,(0.17715335444250452+0.012047820098726182j)
148,113x113,12769,3248,3,2,28.743362831858406,28.743362831858406,29,40,(0.1645884521368092+0j)
149,113x113,12769,3239,3,2,28.663716814159294,28.663716814159294,29,39,(0.19019318167076854+0.07146240754548995j)
150,114x114,12996,3271,3,2,28.69298245614035,28.69298245614035,29,37,(0.18416713310328708+0.03857447352081053j)
151,114x114,12996,3264,3,2,28.63157894736842,28.63157894736842,29,39,(0.17795409488419783+0.015635856522388764j)
152,114x114,12996,3278,3,2,28.75438596491228,28.75438596491228,29,41,(0.20351276295895987+0j)
153,114x114,12996,3271,3,2,28.69298245614035,28.69298245614035,29,41,(0.18408586939186233+0.08719673352500956j)
154,114x114,12996,3268,3,2,28.666666666666668,28.666666666666668,29,40,(0.19156714074410605+0j)
155,114x114,12996,3260,3,2,28.596491228070175,28.596491228070175,29,41,(0.1770857506888397+0.03798785796291988j)
156,114x114,12996,3278,3,2,28.75438596491228,28.75438596491228,29,39,(0.19359707338369347+0.0618535527673307j)
157,114x114,12996,3276,3,2,28.736842105263158,28.736842105263158,29,40,(0.19577749956848212+0.005201976518992782j)
158,114x114,12996,3266,3,2,28.649122807017545,28.649122807017545,29,42,(0.17103857026379954+0.013854429702972201j)
159,114x114,12996,3283,3,2,28.79824561403509,28.79824561403509,29,41,(0.1951050385029381+0j)
160,115x115,13225,3310,3,2,28.782608695652176,28.782608695652176,29,43,(0.18289956335282953+0.037071518362509305j)
161,115x115,13225,3306,3,2,28.747826086956522,28.747826086956522,29,42,(0.19241617502339012+0j)
162,115x115,13225,3302,2,2,28.713043478260868,28.713043478260868,29,40,(0.18735244338499168+0.03030060548361036j)
163,115x115,13225,3296,3,2,28.660869565217393,28.660869565217393,29,42,(0.20147718300765216+0j)
164,115x115,13225,3297,3,2,28.669565217391305,28.669565217391305,29,43,(0.1814946568151331+0.013330075950404594j)
165,115x115,13225,3298,3,2,28.678260869565218,28.678260869565218,29,43,(0.18212257541764554+0.0067457759181345205j)
166,115x115,13225,3298,3,2,28.678260869565218,28.678260869565218,29,45,(0.19780689352406652+0j)
167,115x115,13225,3303,3,2,28.721739130434784,28.721739130434784,29,40,(0.18155958734914282+0j)
168,115x115,13225,3299,3,2,28.68695652173913,28.68695652173913,29,41,(0.19539919773039932+0j)
169,115x115,13225,3291,3,2,28.617391304347827,28.617391304347827,29,41,(0.19458357233642112+0.03951997299229714j)
170,116x116,13456,3337,3,2,28.767241379310345,28.767241379310345,29,38,(0.18131987359061777+0.0054521245270403645j)
171,116x116,13456,3337,3,2,28.767241379310345,28.767241379310345,29,41,(0.19376207020149827+0j)
172,116x116,13456,3328,3,2,28.689655172413794,28.689655172413794,29,40,(0.19139050008722627+0j)
173,116x116,13456,3328,3,2,28.689655172413794,28.689655172413794,29,39,(0.18360779949277417+0j)
174,116x116,13456,3324,3,2,28.655172413793103,28.655172413793103,29,39,(0.17122567888865742+0j)
175,116x116,13456,3334,3,2,28.74137931034483,28.74137931034483,29,43,(0.21350633922646517+0j)
176,116x116,13456,3328,3,2,28.689655172413794,28.689655172413794,29,43,(0.18662893056156932+0.016059055091073887j)
177,116x116,13456,3332,3,2,28.724137931034484,28.724137931034484,29,40,(0.17499807092196462+0.05486731345537767j)
178,116x116,13456,3329,3,2,28.698275862068964,28.698275862068964,29,38,(0.20773322926060214+0j)
179,116x116,13456,3326,3,2,28.67241379310345,28.67241379310345,29,39,(0.18896821076892073+0.03349036813267349j)
180,117x117,13689,3474,3,2,29.692307692307693,29.692307692307693,30,41,(0.19986084134830884+0j)
181,117x117,13689,3477,3,2,29.71794871794872,29.71794871794872,30,41,(0.18302360544951823+0.018328257278531858j)
182,117x117,13689,3482,3,2,29.76068376068376,29.76068376068376,30,43,(0.2090932007379597+0j)
183,117x117,13689,3471,3,2,29.666666666666668,29.666666666666668,30,42,(0.18571893364206396+0j)
184,117x117,13689,3486,3,2,29.794871794871796,29.794871794871796,30,43,(0.19916253459004013+0.013671971770998414j)
185,117x117,13689,3477,3,2,29.71794871794872,29.71794871794872,30,41,(0.2103571474188613+0j)
186,117x117,13689,3477,3,2,29.71794871794872,29.71794871794872,30,41,(0.17285744240401585+0.01188471715973872j)
187,117x117,13689,3474,3,2,29.692307692307693,29.692307692307693,30,44,(0.174100274182951+0.007409957564168332j)
188,117x117,13689,3465,3,2,29.615384615384617,29.615384615384617,30,38,(0.1921459587792535+0j)
189,117x117,13689,3477,3,2,29.71794871794872,29.71794871794872,30,41,(0.1823586916007846+0.03907034017664395j)
190,118x118,13924,3505,3,2,29.703389830508474,29.703389830508474,30,43,(0.18097742727197427+0.04162678315417865j)
191,118x118,13924,3504,3,2,29.694915254237287,29.694915254237287,30,45,(0.17676669796835012+0j)
192,118x118,13924,3515,3,2,29.78813559322034,29.78813559322034,30,46,(0.18886299698809003+0j)
193,118x118,13924,3501,3,2,29.66949152542373,29.66949152542373,30,42,(0.19075899853693185+0j)
194,118x118,13924,3497,3,2,29.635593220338983,29.635593220338983,30,43,(0.18897394150159108+0j)
195,118x118,13924,3503,3,2,29.6864406779661,29.6864406779661,30,45,(0.19072243455578897+0j)
196,118x118,13924,3506,3,2,29.71186440677966,29.71186440677966,30,44,(0.19877627938206888+0.052201064835569834j)
197,118x118,13924,3498,2,2,29.64406779661017,29.64406779661017,30,41,(0.18397447426845395+0j)
198,118x118,13924,3504,3,2,29.694915254237287,29.694915254237287,30,43,(0.2002483375357725+0j)
199,118x118,13924,3503,3,2,29.6864406779661,29.6864406779661,30,42,(0.17275167411570239+0.048564930543331025j)
200,119x119,14161,3533,2,2,29.689075630252102,29.689075630252102,30,39,(0.1836286486766316+0.010940442153947951j)
201,119x119,14161,3539,3,2,29.73949579831933,29.73949579831933,30,41,(0.1934850077097203+0j)
202,119x119,14161,3528,3,2,29.647058823529413,29.647058823529413,30,42,(0.1864368568408577+0j)
203,119x119,14161,3527,3,2,29.638655462184875,29.638655462184875,30,41,(0.1715973590152297+0.028326830417805107j)
204,119x119,14161,3543,3,2,29.77310924369748,29.77310924369748,30,44,(0.1994180663882066+0j)
205,119x119,14161,3520,3,2,29.57983193277311,29.57983193277311,30,42,(0.19332005159575116+0.01580147643394481j)
206,119x119,14161,3522,3,2,29.596638655462186,29.596638655462186,30,44,(0.17291992261738637+0j)
207,119x119,14161,3534,3,2,29.69747899159664,29.69747899159664,30,46,(0.18153333976275457+0.0063324918592822955j)
208,119x119,14161,3531,3,2,29.672268907563026,29.672268907563026,30,40,(0.19810961521158277+0j)
209,119x119,14161,3535,3,2,29.705882352941178,29.705882352941178,30,43,(0.18366349921537511+0.06471143654760628j)
210,11x11,121,32,5,3,2.909090909090909,2.909090909090909,3,6,(0.5005553119236245+0j)
211,11x11,121,33,4,3,3.0,3.0,3,5,(0.5302275244763884+0j)
212,11x11,121,33,4,3,3.0,3.0,3,5,(0.39903754614686837+0j)
213,11x11,121,33,4,3,3.0,3.0,3,5,(0.3970195535670805+0.05744499207944539j)
214,11x11,121,33,4,3,3.0,3.0,3,6,(0.4560003893602718+0j)
215,11x11,121,33,5,3,3.0,3.0,3,5,(0.5281401456606044+0j)
216,11x11,121,33,4,3,3.0,3.0,3,5,(0.7243017366497904+0j)
217,11x11,121,33,5,3,3.0,3.0,3,6,(0.24147278379744092+0.37834940426205765j)
218,11x11,121,32,4,3,2.909090909090909,2.909090909090909,3,5,(0.39545777187642295+0j)
219,11x11,121,33,4,3,3.0,3.0,3,4,(0.33984326619218896+0j)
220,120x120,14400,3568,3,2,29.733333333333334,29.733333333333334,30,40,(0.18778680610725318+0.0117708819718925j)
221,120x120,14400,3570,3,2,29.75,29.75,30,41,(0.1862840448153806+0j)
222,120x120,14400,3565,3,2,29.708333333333332,29.708333333333332,30,43,(0.1961989667227564+0j)
223,120x120,14400,3561,3,2,29.675,29.675,30,38,(0.19263492500734394+0j)
224,120x120,14400,3570,3,2,29.75,29.75,30,48,(0.1957792643918362+0.06689645882664766j)
225,120x120,14400,3555,3,2,29.625,29.625,30,41,(0.19632258338723196+0.07434081004679963j)
226,120x120,14400,3566,3,2,29.716666666666665,29.716666666666665,30,43,(0.173198106472029+0.014711297934601407j)
227,120x120,14400,3575,3,2,29.791666666666668,29.791666666666668,30,42,(0.1721818822606701+0.04180524238809701j)
228,120x120,14400,3574,3,2,29.783333333333335,29.783333333333335,30,41,(0.19006523618366528+0.03165178434429233j)
229,120x120,14400,3564,3,2,29.7,29.7,30,41,(0.1826616873169695+0.08495951823737455j)
230,121x121,14641,3715,3,2,30.702479338842974,30.702479338842974,31,42,(0.18664412312078846+0.01723757837400916j)
231,121x121,14641,3708,3,2,30.644628099173552,30.644628099173552,31,43,(0.17599517240173768+0.03899298056487516j)
232,121x121,14641,3721,3,2,30.75206611570248,30.75206611570248,31,41,(0.18805860641532915+0j)
233,121x121,14641,3709,3,2,30.65289256198347,30.65289256198347,31,42,(0.19586421775354343+0j)
234,121x121,14641,3711,3,2,30.669421487603305,30.669421487603305,31,42,(0.17054171430605988+0j)
235,121x121,14641,3705,3,2,30.619834710743802,30.619834710743802,31,46,(0.18851376419811317+0j)
236,121x121,14641,3706,2,2,30.628099173553718,30.628099173553718,31,42,(0.1785683467531089+0.007377376348809925j)
237,121x121,14641,3706,2,2,30.628099173553718,30.628099173553718,31,41,(0.16585723635725347+0.01018211581784262j)
238,121x121,14641,3711,3,2,30.669421487603305,30.669421487603305,31,42,(0.2071511367210386+0j)
239,121x121,14641,3716,3,2,30.710743801652892,30.710743801652892,31,42,(0.19904518982167035+0j)
240,122x122,14884,3749,3,2,30.729508196721312,30.729508196721312,31,46,(0.17988635117339108+0.03022669985732126j)
241,122x122,14884,3738,3,2,30.639344262295083,30.639344262295083,31,43,(0.20247601086288736+0j)
242,122x122,14884,3743,3,2,30.68032786885246,30.68032786885246,31,43,(0.19714934729987107+0j)
243,122x122,14884,3744,3,2,30.688524590163933,30.688524590163933,31,44,(0.17979741366315077+0.03925498239496573j)
244,122x122,14884,3745,2,2,30.69672131147541,30.69672131147541,31,43,(0.18149986851550237+0j)
245,122x122,14884,3753,3,2,30.762295081967213,30.762295081967213,31,45,(0.18115596196540346+0.019901880609696526j)
246,122x122,14884,3746,3,2,30.704918032786885,30.704918032786885,31,49,(0.1992946298857444+0j)
247,122x122,14884,3748,3,2,30.721311475409838,30.721311475409838,31,45,(0.17556133085503417+0j)
248,122x122,14884,3745,2,2,30.69672131147541,30.69672131147541,31,43,(0.19710309598706754+0j)
249,122x122,14884,3742,3,2,30.672131147540984,30.672131147540984,31,43,(0.1864111970735875+0j)
250,123x123,15129,3770,3,2,30.650406504065042,30.650406504065042,31,41,(0.16792275428475514+0j)
251,123x123,15129,3759,3,2,30.5609756097561,30.5609756097561,31,43,(0.19531392376977336+0j)
252,123x123,15129,3764,3,2,30.601626016260163,30.601626016260163,31,45,(0.16350066197899304+0.03647425809452553j)
253,123x123,15129,3773,3,2,30.67479674796748,30.67479674796748,31,44,(0.17179060535796115+0.04014028554392722j)
254,123x123,15129,3781,2,2,30.739837398373982,30.739837398373982,31,41,(0.18407648388654987+0.054379673303756745j)
255,123x123,15129,3785,3,2,30.772357723577237,30.772357723577237,31,45,(0.17717876632678786+0.006984144329456705j)
256,123x123,15129,3780,3,2,30.73170731707317,30.73170731707317,31,44,(0.18614331784982158+0j)
257,123x123,15129,3770,3,2,30.650406504065042,30.650406504065042,31,43,(0.18408026722579063+0.06874198870200225j)
258,123x123,15129,3775,2,2,30.691056910569106,30.691056910569106,31,43,(0.1908547190731974+0.006281294408665282j)
259,123x123,15129,3781,2,2,30.739837398373982,30.739837398373982,31,41,(0.18855475382549614+0.015333819311792705j)
260,124x124,15376,3807,3,2,30.701612903225808,30.701612903225808,31,42,(0.17573610548173135+0.019773969978869994j)
261,124x124,15376,3807,3,2,30.701612903225808,30.701612903225808,31,42,(0.18165173279334434+0.03317405591228285j)
